label	text
offensive	in conclusion your moms a hoe
offensive	yep we need a way to control our women remotely
offensive	not this bitch
offensive	how much you wanna bet these hoes who have historically been vocally adamant about being race last immediately use slavery as a defense against remy ma saying if you want money for being raped you are a prostitute
offensive	<user> ooh ight fuck dat bitch 😭
hatespeech	<user> she is a dumb bitch who the fuck blows cigarette smoke in their child face or holds them like a damn toy i fucking hate mothers who do not do right by their kids
hatespeech	this whole world has went to shit with all this marxist bs twitter shadowbanned me last yr and i am off for the next day because i called michelle aka michael obama a ghetto bitch
offensive	i really wasted a whole year with a dumb hoe
offensive	we sound stupid when we talk ghetto remember white women calling jewelry bling it was embarrassing to hear my favorite is white guys wearing their pants below their asses whoever told them this was cool
offensive	<user> take care of it for me a bitch wants to die and has no regard for her own health
offensive	seriously oprah so what are gonna get that new besides white people suck white men suck even more blacks are wonderful victims and gays are god chosen hm
offensive	stop saying hillary clinton lost because she a woman the corrupt bitch does not even help women and girls banfgm banslavery maga speakfreely gabfam trump
offensive	i don ’ t degrade or call women out their name in real life i just call my queens my bitches cuz that ’ how i was brought up lol
offensive	must thought i was pussy why you playin wit these bitches
hatespeech	fuck that nasty bitch with a moslem dick
offensive	bitches be like halsey and dating are officially jimin like move bitch thats my girl
offensive	throwing kitchenware is a bitch move it what physically weak women do to indicate their displeasure without actually attacking their man
offensive	niggas sleep on good girls and wife these hoes
offensive	stupid bitch not paying attention looking for something in her car almost crashed right into me my life be flashing right before my eyes
offensive	can not believe bitches really be out here watching the absolute pile of trash that is gl*e <censored> it me i am bitches
offensive	if i leave her she gon die well bitch you done wit life
offensive	<user> bitches get one upset stomach and swear they pregnant go fart
hatespeech	those women hate themselves but they hate straight white trump maga men even more they hate them more because they could not attract and get one therefore the self harm body piercings etc
offensive	these liberal women are literally paying a clothed man wearing a glove to finger them for <number> minute therapy sessions that not therapy that a sexual service and they have plans to expand to other major cities
offensive	shillary is still crying why why you lost you traitorous hag you hate your own race and put illegals and non whites above your own people figure it out and then go away and no one wants that shitty book except maybe dykes with purple hair
offensive	how about royal traitors 😂 loosewomen
offensive	i can not wife none of these hoes because they thottin
offensive	wanna be my main slut you gotta eat up eat up wanna be my sweet love but you is not anita
offensive	seriously though it basically impossible for men and women to give friendly hugs and not occasionally bump into boobs and butts oh the hug was going great but then you let your arm drop too soon and your hand briefly grazed her right butt cheek and now you are fired sad
offensive	yall bitches wanna starting acting up when the ice nd shit hit the ground bitch catch me in my basement 😂
offensive	women love tellin she ’ half amp half i ’ ll tell you who is tho 😂 😭 😂 😭 😂
hatespeech	well of course it does jews invented feminism that all jews do destroy shit they openly admit they destroy shit
offensive	bouta put my professor on queer eye cuz this bitch can not dress
offensive	lmaoo wow i rest my case cunt does not give a shit about violence or aborted fetuses just wanted to start beef with me and show people how retarded she is she knows fully well many healthy white babies get aborted simply as birth control you despicable vile demon
hatespeech	soon mudsharks will start being afraid to walk the streets good we need more mudshark shaming and ass kicking
hatespeech	kate brown is a kike whore oregon was a nice state now its cess pit this bitch should pushed down the stairs when everyone is looking
hatespeech	socialist dictator socialist feminist son of a whore space cadet spoiled bitch stuttering barky stuttering clusterfuck the brown clown the choom gangster in chief the color muslim the community agitator the crony elitist presy the drama king the execuitve infant the face of evil
hatespeech	<user> the same people who defend a woman right to post ass pics on instagram are the same to try and push them out of a job and suddenly say it degrading to them will you ugly dykes pick something to be offended by and stick with it
offensive	i can not fw yall hoes nomo i got a girlfriend 🤗
hatespeech	well it not our fault nigger women are huge
offensive	slap the bitch in the fave with them hoes
hatespeech	not a problem even though i know she a mudshark i still adore her
offensive	barn full of white bitches
offensive	the slut shaming of gillibrand saga really boggles the noggin if you try to coerce your employer into making decisions that are favourable to you through sex you are a slut and you should be ashamed of it
offensive	no vanessa is a mudshark in islay alina is a wino living in manchester
offensive	this bitch keep wearing weave i told her grow inches
offensive	fuck you all hoes
offensive	more retarded ridiculous looking niggers on judge judy today a nigger whore has long curly blond hair and a goofy weird nose ring
offensive	seven bitches with me and ain t none of them mediocre from they head to they toes they so far from mediocre hadi yallah ananızı sikerim
offensive	do a split on the dick if you really with the shits little bitch 🤣 ok meek
offensive	dorothy a dirty slut
offensive	<user> <user> ew you ghetto girls 🤢 🤢 🤢 all you big built hoes always wanna mash up cute girls like me 🙈 🙈 🙈 🙈 🙈
hatespeech	i d rather stare at a bowl full of shit then look at those ugly dinosaur gorrila lookin nigger biches
offensive	is that some american insult cancer is a bitch and i am collecting you are a fucking twat with rotting baby teeth
offensive	my bitch go loko
offensive	so none of you all hoes want to get that waist snatched hurd it
offensive	get a check and see now these hoes react
hatespeech	i despise it when news personalities like lauren southern say they are not refugees they are economic migrants no you dumb kike bitch they are i n v a d e r fuck it after what happened to pamela shoot em if they do not leave
offensive	the left needs to eradicate suppress the white man in europe the left needs to make the white man irrelevant cos the white man is the one who will rise up kill those who are attempting to destroy the west take our countries back the women will not
offensive	bitches change niggas change
hatespeech	this film is a retarded oscar bait whore bitch cunt nigger faggot waste of fucking time jennay is a whore
offensive	dig a ditch for a bitch if she gone throw dirt talking all that shit like you won ’ t get hurt
offensive	abortion is never going 2 b accepted by the majority of people since women bear the burden of carrying a child the respons falls on her 2 b more responsible if u are not married do not have sex if u can not afford birth control
offensive	you lost me when you gave another bitch the privilege to feel like she got you how i got you 👌 🏽
offensive	need a fat white bitch ay can i getcho numba come pay my rent ho
offensive	tell hoes to bones
offensive	i do not trust none of u hoes
offensive	i cannot stand straight white women who think women ’ only purpose is to birth children
hatespeech	i have not said it enough but fuck white bitches
offensive	if this bitch e mail me one more time
offensive	bitches piss me off that why it be hard to date one
offensive	<user> lol he a classy hoe
offensive	definite it time to rake the one demensional leftists cucks including the doj and fbi over the coals and then maybe rebuild our doj and fbi fucking dyke hillary sadly will get a slap on her wrist unfortunately
offensive	little bitch you can not fuck with me if you wanted to
offensive	<user> <user> another group of feminazis released in to society yikes
offensive	that hoe only got time for his friends
offensive	you are your own sacred space shield that shit from bug bitches
offensive	she took a little time off from preparing the grounds of her english estate to house muslim refugees so that she could stick her snarky bitch comments squarely into our politics maga <user> <user>
offensive	dam 😵 bitch you aint gone say hay
offensive	legal in california killing white women illegal in california drinking raw milk buildkateswall
offensive	that ’ why i ’ m so over moen at this point not really moen just these old ass great uncle looking ass women
offensive	yeah her ass to strict i wanna man like that i see them white bitches be saying all she does is sleep they will whip him anytime bye
hatespeech	niggas is fucking pussy whole dick riding bitches do not come around here with that faggot shit you peon
offensive	hazard is a fat slut
offensive	<user> mf really pinned that bitch
hatespeech	everytime a nigger knocks up a welfare hoe the country goes just a tad further left everytime a mexican sneaks across the border the country goes just a tad further left
offensive	bad white bitch wanna hit my keys 🔥 <user>
offensive	how you know niggas ain t never live like that but you help em try to give off the image as if but you hoes real tho
offensive	these hoes be acting up and these niggas be letting them 🤨
offensive	yea i stopped giving a fuck entirely about this story and it just makes me lose more respect for women as if i had any left to lose women allowed this to continue for as long as it did because they wanted it
offensive	<user> happy bday slut whatchu on for the day
hatespeech	wrong you fat boomer whorekike threats are illegal naming a kike whore like yourself or pointing out your nigdick sucking stupidity are entirely legal you fucking moron and your kike heroes do not own ny slut
offensive	i am really pissed off tho lmao i hate dirty bitches
hatespeech	remember ladies walking outside by yourself means you are asking to be molested and raped by guys share this meme with all your liberal feminist minded associates this is a so called educated professor that teaches muslims to think and act like this muslim islam maga gabfam <user>
offensive	the gay gods gave the lesbians <number> rights this day
offensive	me girl otherwise you just a sad ass bitch 😇
hatespeech	no one is talking about that it about civility and respect disagree all you want but do it right you know stuff that men did until they became brainwashed by the liberals into thinking women should be treated like men
offensive	she call me a thot lil bitch you is a ho too 💀
offensive	miss my ghetto bitches
offensive	ion chase hoes i am chasing a sack 💰
offensive	damn zidane do not trust the belgian slut no more
offensive	can you be a student and a hoe at the same time
offensive	hello bitch nice tits ahahahahahahhaha milky m ilky milky baby thristy mommy baby want milk suck suck suck suck ahhahahaha stupid cunt give me those big udders you slut ahhahahahah tits tits titty hahahahah honk honk honk slut cunt mommy honk honk milky
offensive	i tweet for the dykes and the dykes alone
offensive	womans right activist thick as a brick idiot who sets womans rights so far back with her insane acceptance of a plastic version of islam sod all in the koran about wandering about like a refugee from the sue ryder charity shop with the mumps
offensive	and tomatoes i hate tomatoes this hoe just said fuck my instructions
hatespeech	remember men it not sexual harassment when women are the perps joybehar crotchgrabber
hatespeech	i think what we have learned in the last <number> years is it extremely dangerous to have women voting and holding governmental positions they are so sensitive to not being liked being uncaring insensitive racist etc they are manipulated with relative ease by satanic nation destroyers
offensive	evwimena says <date> at <time> what thought process do you expect from a socialist snowflake dyke she has the support of the not sure if we are sitters or pointers restroom users when the o.b. delivered this young person the doc told her mom she has a beautiful girl
offensive	there are occasionally very good women leaders i will give you that however it the exception not the rule
offensive	when the lewdposter you follow reposts a series of naked sheboons
offensive	same in the uk election postal vote is exploited by muslims in particular female muslims give their vote to whomever the imam says if it a muslim candidate they just bring voters in register from a muslim house and job done
hatespeech	a paleoconservative on twitter recently said that sexual harassment in the workplace would not be a problem if women stayed home and raised their kids i think that if women are dressed like thots men have a right to flirt grope etc it obviously what the women want
offensive	<number> of white women are just awful
offensive	bill clinton and his lovely wife are watching fox news at the dinner table bill starts to chuckle all this talk about a whistle blower in the white house well i had me a missile blower
offensive	black history month on <date> african american oj simpson brutally murdered mudshark nicole simpson and jew ronald goldman a black jury acquitted him and black america rejoiced
hatespeech	slut a person especially a woman considered sexually promiscuous promiscuous having casual sexual relations frequently with different partners indiscriminate in the choice of sexual partners <user> ‍ theoretically if she seriously rarely thrice fucks only fucks niggers then i suppose she is not a slut but she a mud shark
hatespeech	i have never liked netflix netfux so i am cancelling my subscription will buy movies elsewhere and never go to amazon another usa trump hater for streaming videos either putting this nigger cunt on the board and the upcoming male cunt obummer show on netfux has done it for me
hatespeech	according to explosive new revelations in wolff new book trump reportedly smacked a female white house staffer on the ass and said i am that gorilla dick nigga i make dyke pussy wet you got about ten seconds to show me that hole cuz this gorilla dick daddy is hungry
offensive	first wave feminists were largely thoughtful women advocating for voting rights legal financial rights access to opportunity subsequent feminist movements have been ridiculous by equating feminism with abortion sexuality etc burning ones bra never accomplished anything except sagging
offensive	aye bro do not you cuff that hoe cuz i done had that too
offensive	we would like to salute all of the women marching today for no apparent reason with our middle fingers outstretched to you
offensive	these hoes do not have a plan
hatespeech	you say you like roosh while he shits on the alt right and boasts about banging our women in the same breath you sing the praises of a female nigger thot race war choose a side
